Ucionica,dan,vreme,Predmet,Profesor,Racunar
RAF1,Pon,09:15-11:15,UUP,Mladen Jovanovic,DA
RAF2,Uto,09:15-11:16,SK,Bojana Dimic Surla,NE
RAF3,Sre,09:15-11:17,UUP,Lazar Dejanovic,DA
RAF4,Cet,09:15-11:18,VP,Milos Radenkovic,NE
RAF5,Pet,09:15-11:19,UUP,Jefimija Najdic,DA
RAF6,Pon,09:15-11:20,UUP,Zarko Radenkovic,DA
RAF7,Uto,09:15-11:21,IS,Milan Tomic,DA
RAF1,Sre,09:15-11:22,UUP,Marko Mladenovic,NE
RAF2,Cet,09:15-11:23,IS,Igor Ciganovic,DA
RAF3,Pet,09:15-11:24,UUP,Nikola Redzic,DA
RAF4,Pon,09:15-11:25,SK,Jefimija Najdic,DA
RAF5,Uto,09:15-11:26,SJ,Milos Radenkovic,NE
RAF6,Sre,09:15-11:27,TS,Sava Ivkovic,DA
RAF7,Cet,09:15-11:28,DS,Mihail Jovanoski,DA
RAF1,Pet,09:15-11:29,SK,Nikola Redzic,DA
RAF2,Pon,09:15-11:30,UUP,Vanja Matovic,DA
RAF3,Uto,09:15-11:31,IS,Jelena Vasiljevic,NE
RAF4,Sre,09:15-11:32,TS,Sava Ivkovic,DA
RAF6,Cet,09:15-11:33,NWP,Nikola Redzic,DA
RAF7,Pet,09:15-11:34,NWP,Stefan Antic,DA
RAF2,Pon,09:15-11:35,IS,Igor Ciganovic,DA
RAF4,Uto,09:15-11:36,SK,Jefimija Najdic,DA
RAF7,Sre,09:15-11:37,NWP,Stefan Antic,DA
RAF3,Cet,09:15-11:38,UUP,Lazar Dejanovic,DA
RAF1,Pet,09:15-11:39,UUP,Mladen Jovanovic,DA
RAF5,Pon,09:15-11:40,UUP,Jefimija Najdic,DA
RAF7,Uto,09:15-11:41,IS,Milan Tomic,DA
RAF6,Sre,09:15-11:42,TS,Sava Ivkovic,DA
RAF1,Cet,09:15-11:43,SK,Nikola Redzic,DA
RAF2,Pet,09:15-11:44,UUP,Vanja Matovic,DA
